,date,temperatures(C),humidity(%),pressure(hPa),energy
0,2021-01-01 0:00,-1.8,79.0,1018.5,234.624000000068
1,2021-01-01 1:00,-2.9,83.0,1018.2,223.16106249997583
2,2021-01-01 2:00,-2.9,81.0,1018.2,214.9821875
3,2021-01-01 3:00,-2.8,86.0,1018.6,221.573375
4,2021-01-01 4:00,-2.9,87.0,1018.6,218.698625
5,2021-01-01 5:00,-4.1,93.0,1018.2,220.3102500000001
6,2021-01-01 6:00,-4.8,92.0,1018.4,221.44824999999992
7,2021-01-01 7:00,-4.3,94.0,1018.9,226.70924999999988
8,2021-01-01 8:00,-3.9,95.0,1018.8,231.87462500000015
9,2021-01-01 9:00,-3.0,95.0,1019.1,243.492125
10,2021-01-01 10:00,-2.5,93.0,1019.6,245.1534999999999
11,2021-01-01 11:00,-0.9,86.0,1019.3,248.70825000000013
12,2021-01-01 12:00,0.4,79.0,1018.4,259.57299999999987
13,2021-01-01 13:00,1.5,74.0,1017.6,265.37275
14,2021-01-01 14:00,1.7,74.0,1017.3,246.70225000000028
15,2021-01-01 15:00,2.8,70.0,1016.8,237.72599999999966
16,2021-01-01 16:00,2.4,63.0,1016.8,247.96050000000014
17,2021-01-01 17:00,2.1,67.0,1016.7,257.35275
18,2021-01-01 18:00,1.1,78.0,1016.7,256.21375000000035
19,2021-01-01 19:00,1.5,72.0,1016.8,248.23700000000008
20,2021-01-01 20:00,1.8,68.0,1017.0,251.17349999999988
21,2021-01-01 21:00,1.1,76.0,1016.9,254.6894999999995
22,2021-01-01 22:00,0.8,84.0,1017.0,249.7465000000002
23,2021-01-01 23:00,0.7,87.0,1016.6,234.91100000000006
24,2021-01-02 0:00,0.7,89.0,1016.6,226.14850000000024
25,2021-01-02 1:00,0.2,95.0,1016.7,211.94750000000022
26,2021-01-02 2:00,0.1,97.0,1016.8,210.78949999999986
27,2021-01-02 3:00,-0.1,98.0,1016.5,212.78049999999985
28,2021-01-02 4:00,0.2,98.0,1016.6,208.11300000000028
29,2021-01-02 5:00,0.0,98.0,1016.4,212.03149999999914
30,2021-01-02 6:00,0.1,98.0,1017.0,210.35800000000017
